1036,31.184347/121.441392,72785,54
285,30.957633/121.343012,470931,369
290,30.963144/121.39936,834594,648
156,30.892415/121.023553,1212078,926
2032,31.247886/121.391323,9910,7
400,31.021462/121.321255,1035917,812
1560,31.224718/121.344451,566692,575
2146,31.255905/121.430231,1306262,1026
280,30.956183/121.908274,147529,112
2066,31.250332/121.594504,1724543,1360
1185,31.198953/121.516066,42611,31
591,31.08705/121.503604,292364,267
1244,31.203225/121.399229,5559,4
1379,31.212833/121.423845,1400,1
2950,31.42225/121.355698,380259,301
212,30.918205/121.509992,625755,499
2863,31.378141/121.503801,5429,4
1817,31.237789/121.461058,39177,29
444,31.038201/121.216468,1669615,1343
2453,31.285418/121.47179,21081,16
345,30.999098/121.447826,2206068,1779
2052,31.249162/121.487899,473704,382
1054,31.186465/121.429887,986314,741
2980,31.456615/121.221022,161769,128
126,30.873326/121.284335,459982,371
600,31.08906/121.722984,711632,547
2021,31.246946/121.513919,166619,139
477,31.044667/121.46191,1466521,1182
2799,31.350476/121.519951,9779,8
2635,31.307911/121.518921,785920,624
930,31.170097/121.608906,153412,120
2330,31.271455/121.513192,68709,50
132,30.875057/121.324697,480470,374
2028,31.247569/121.41575,157680,131
1771,31.235847/121.536101,434067,342
2789,31.345443/121.596458,614229,476
855,31.157536/121.203337,2108301,1660
1515,31.221876/121.687381,231245,185
1876,31.240478/121.526884,2086139,1643
2748,31.333315/121.188402,371773,287
903,31.166058/121.403691,248106,194
16,30.73407/121.350673,972132,761
1275,31.205618/121.420639,0,0
675,31.115773/120.907942,4216,3
136,30.877822/121.548349,315062,257
2014,31.246573/121.495702,38141,29
892,31.16346/121.405127,2305513,1862
2983,31.460409/121.401649,1200296,967
2353,31.273966/121.429374,335095,282
1105,31.191818/121.538713,475907,366
739,31.132833/121.17281,391610,315
2684,31.317584/121.626266,49001,36
631,31.10366/121.420217,2258043,1763
2957,31.427978/121.433301,623403,491
2812,31.355737/121.403678,2451120,1893
334,30.992078/121.31207,59063,46
2979,31.456258/121.413525,564801,475
730,31.130862/121.091425,1202329,950
761,31.139656/121.378972,27649,20
2450,31.284953/121.489071,1045543,853
1191,31.19927/121.6228,2821,2
2552,31.29856/121.495449,9265,7
2923,31.409644/121.303936,124298,98
1310,31.209025/121.616514,2093966,1618
2057,31.24981/121.497427,0,0
2542,31.296656/121.483976,545918,442
299,30.97167/121.185692,12515,9
303,30.975316/121.349759,378725,304
583,31.082701/121.448694,1245905,970
1282,31.206458/121.562768,16907,13
1688,31.232857/121.475333,1286902,966
2158,31.256654/121.599709,48043,36
1045,31.185065/121.503655,141688,111
495,31.048845/121.231719,947328,803
1108,31.19206/121.438501,508868,391
1430,31.216528/121.439617,148099,115
443,31.037985/121.752781,403927,308
1776,31.236009/121.478941,1019265,764
931,31.17023/121.337413,3927709,3091
466,31.04139/121.741651,607630,477
1015,31.18158/121.295188,4223,3
